"","in_pwy","impact","DWM.avg","RYGB.avg","RYGBvsDWM.t","RYGBvsDWM.p","RYGBvsDWM.FDR","CHEBI"
"CHEBI:17268",TRUE,2.89,0.0549,-0.254,-2.26,0.0298,0.345,"myo-inositol"
"PIK3CA",TRUE,2.22,0.138,-0.294,-2.18,0.0357,0.372,NA
"CHEBI:18367",TRUE,0.931,0.0564,0.00988,-0.862,0.394,0.629,"phosphate"
"CHEBI:15971",FALSE,0.0753,-0.00316,-0.218,-4.69,3.83e-05,0.00377,"histidine"
"CHEBI:1372",FALSE,0.0656,-0.111,-0.468,-2.2,0.0347,0.372,"S-1-pyrroline-5-carboxylate"
"CHEBI:17196",FALSE,0.0638,0.0664,-0.187,-3.58,0.000998,0.0474,"asparagine"
"CHEBI:61988",FALSE,0.0603,0.841,-0.872,-1.92,0.0626,0.45,"maltotetraose"
"CHEBI:17712",FALSE,0.0601,-0.0866,-0.32,-1.96,0.0581,0.446,"xanthine"
"CHEBI:16919",FALSE,0.0543,0.0132,-0.623,-4.34,0.000109,0.00941,"creatine"
"GPI",FALSE,0.0527,0.0675,-0.361,-2.22,0.033,0.363,NA
"CHEBI:18132",FALSE,0.0524,0.0493,-0.514,-2.66,0.0117,0.244,"choline phosphate"
"CHEBI:32398",FALSE,0.0515,0.203,-0.0357,-1.74,0.0899,0.487,"glycerate"
"GAPDH",FALSE,0.0513,0.177,-0.237,-1.68,0.103,0.508,NA
"CHEBI:16704",FALSE,0.0508,0.0164,-0.438,-4.86,2.29e-05,0.00256,"uridine"
"CHEBI:30860",FALSE,0.0478,-0.042,-0.387,-2.11,0.0415,0.388,"methylmalonate (MMA)"
"CHEBI:16027",FALSE,0.0477,0.401,-0.245,-1.21,0.233,0.543,"adenosine 5'-monophosphate (AMP)"
"CHEBI:17050",FALSE,0.0475,0.751,-0.384,-1.48,0.148,0.543,"3-phosphoglycerate"
"PLCG1",FALSE,0.0413,-0.046,-0.109,-1.24,0.225,0.543,NA
"CHEBI:16742",FALSE,0.0376,0.0735,0.319,1.59,0.121,0.53,"orotate"
"CHEBI:17553",FALSE,0.0344,0.216,-0.272,-1.68,0.102,0.505,"phosphoethanolamine"
"CKM",FALSE,0.0337,0.21,-0.255,-2.79,0.00831,0.206,NA
"BTK",FALSE,0.0329,0.0931,-0.38,-1.31,0.198,0.543,NA
"CHEBI:30797",FALSE,0.0322,0.208,0.00463,-1.91,0.0646,0.45,"malate"
"FGG",FALSE,0.0317,0.0585,0.223,1.84,0.0746,0.471,NA
"CHEBI:17568",FALSE,0.0298,-0.0138,-0.561,-2.19,0.0353,0.372,"uracil"
"CD209",FALSE,0.0298,-0.0167,-0.219,-1.86,0.0713,0.466,NA
"PTEN",FALSE,0.0277,0.0153,-0.0534,-0.571,0.572,0.747,NA
"CHEBI:32816",FALSE,0.0273,-0.262,-0.46,-1.22,0.231,0.543,"pyruvate"
"CHEBI:16977",FALSE,0.0271,-0.108,-0.354,-2.28,0.0286,0.345,"alanine"
"AKT1",FALSE,0.0269,0.0297,-0.346,-1.28,0.209,0.543,NA
"CHEBI:17561",FALSE,0.0263,-0.16,0.0238,2.04,0.0482,0.402,"cysteine"
"FGFR1",FALSE,0.0262,0.0484,0.212,2.08,0.0449,0.394,NA
"MAPK3",FALSE,0.0254,0.0589,-0.313,-1.64,0.111,0.523,NA
"CHEBI:30769",FALSE,0.0254,0.0845,0.227,2,0.0531,0.429,"citrate"
"CLEC1B",FALSE,0.0252,0.156,-0.132,-1.1,0.28,0.562,NA
"EPHB2",FALSE,0.0248,-0.131,0.194,1.99,0.0538,0.429,NA
"MAPK1",FALSE,0.024,0.112,-0.217,-1.37,0.18,0.543,NA
"CHEBI:15354",FALSE,0.0236,-0.105,-0.736,-6.13,4.68e-07,0.000251,"choline"
"AKR1A1",FALSE,0.0232,0.25,-0.193,-1.52,0.137,0.543,NA
"IGHM",FALSE,0.0228,-0.00961,0.106,1.22,0.229,0.543,NA
"CHEBI:15741",FALSE,0.0225,0.105,-0.0698,-1.78,0.0837,0.478,"succinate"
"CHEBI:422",FALSE,0.0223,-0.0947,-0.486,-2.27,0.0294,0.345,"lactate"
"CHEBI:17368",FALSE,0.0221,0.653,0.375,-0.805,0.426,0.645,"hypoxanthine"
"CHEBI:16643",FALSE,0.0212,0.0103,-0.0869,-1.11,0.274,0.561,"methionine"
"CHEBI:17627",FALSE,0.0211,0.824,-0.349,-1.41,0.166,0.543,"heme"
"ATP5B",FALSE,0.0207,0.124,-0.242,-2.03,0.0497,0.412,NA
"APOB",FALSE,0.0205,-0.0927,0.311,1.96,0.0578,0.446,NA
"GRAP2",FALSE,0.0205,-0.0853,0.0431,1.7,0.0973,0.501,NA
"PDGFB",FALSE,0.0203,0.112,-0.453,-1.61,0.117,0.53,NA
"CXCL8",FALSE,0.0198,-0.0627,0.166,2.3,0.0272,0.345,NA
"CD274",FALSE,0.0198,-0.156,0.0153,1.26,0.216,0.543,NA
"CHEBI:18050",FALSE,0.0197,0.0994,0.011,-1.16,0.253,0.554,"glutamine"
"GPNMB",FALSE,0.0194,-0.121,0.279,3.41,0.00161,0.0661,NA
"PGK1",FALSE,0.0193,0.188,-0.219,-1.85,0.0723,0.466,NA
"PRKAA1",FALSE,0.0193,0.0697,-0.00519,-1.38,0.175,0.543,NA
"CRK",FALSE,0.018,0.183,-0.197,-1.6,0.118,0.53,NA
"TEC",FALSE,0.0178,0.082,-0.194,-1.02,0.314,0.571,NA
"CHEBI:16393",FALSE,0.0177,0.207,-0.161,-0.951,0.348,0.591,"sphingosine"
"KRAS",FALSE,0.0176,-0.221,0.0202,1.59,0.121,0.53,NA
"PDPK1",FALSE,0.0176,0.271,-0.0241,-0.846,0.403,0.632,NA
"EPS15L1",FALSE,0.0174,0.282,0.0591,-1.04,0.306,0.57,NA
"CSK",FALSE,0.0173,0.113,-0.386,-1.39,0.174,0.543,NA
"FGA",FALSE,0.0172,0.0728,0.204,1.46,0.152,0.543,NA
"EGFR",FALSE,0.0172,0.00556,-0.0881,-1.1,0.279,0.562,NA
"CHEBI:17202",FALSE,0.0168,1.09,0.0119,-1.49,0.144,0.543,"inosine 5'-monophosphate (IMP)"
"CHEBI:28645",FALSE,0.0166,-0.254,-0.453,-1.03,0.307,0.57,"fructose"
"PRKAA2",FALSE,0.0165,0.288,-0.0266,-1.1,0.279,0.562,NA
"CHEBI:18107",FALSE,0.0161,0.312,0.0661,-0.87,0.39,0.628,"xanthosine"
"FGF19",FALSE,0.0161,-0.0193,0.638,2.38,0.0225,0.334,NA
"RPS27A",FALSE,0.0159,0.476,0.0366,-1.17,0.25,0.553,NA
"NAMPT",FALSE,0.0157,0.00523,-0.198,-1.77,0.0848,0.478,NA
"SHC1",FALSE,0.0157,0.288,0.0143,-1.14,0.263,0.558,NA
