"","in_pwy","impact","EMY.p","EMY.FDR","EM_dir.p","MY_dir.p","EM.t","EM.p","MY.t","MY.p","CHEBI"
"CHEBI:32389",TRUE,2.59,0.0124,0.588,0.000863,0.111,3.68,0.000863,1.64,0.111,"stearidonate (18:4n3)"
"CHEBI:28661",TRUE,1.94,0.0645,0.933,0.0647,0.254,1.91,0.0647,1.16,0.254,"linolenate [alpha or gamma; (18:3n3 or 6)]"
"CHEBI:65136",TRUE,1.48,0.13,0.933,0.36,0.277,0.928,0.36,1.11,0.277,"docosapentaenoate (n3 DPA; 22:5n3)"
"CHEBI:17351",TRUE,1.33,0.194,0.933,0.341,0.44,0.967,0.341,0.782,0.44,"linoleate (18:2n6)"
"CHEBI:28125",TRUE,1.29,0.188,0.933,0.0182,0.433,2.49,0.0182,0.794,0.433,"docosahexaenoate (DHA; 22:6n3)"
"CHEBI:28364",TRUE,0.422,0.383,0.933,0.012,0.619,2.66,0.012,0.503,0.619,"eicosapentaenoate (EPA; 20:5n3)"
"CHEBI:15843",TRUE,0.147,0.442,0.933,0.665,0.596,0.438,0.665,0.535,0.596,"arachidonate (20:4n6)"
"CHEBI:53486",TRUE,0.121,0.452,0.933,0.197,0.672,1.32,0.197,0.427,0.672,"dihomo-linolenate (20:3n3 or n6)"
"GCG",FALSE,0.078,0.3,0.933,0.547,0.0156,0.608,0.547,2.56,0.0156,NA
"APOA1",FALSE,0.0291,0.0399,0.933,0.0566,0.2,1.98,0.0566,1.31,0.2,NA
"ANGPTL4",FALSE,0.0243,0.269,0.933,0.519,0.309,-0.653,0.519,-1.03,0.309,NA
"PLA2G2E",FALSE,0.0165,0.331,0.933,0.575,0.162,-0.192,0.849,1.43,0.162,NA
"CD209",FALSE,0.0151,0.0018,0.222,0.0424,0.0386,2.11,0.0424,2.16,0.0386,NA
"CHEBI:72999",FALSE,0.0144,0.326,0.933,0.185,0.571,-1.35,0.185,0.181,0.857,"1,2-dipalmitoyl-GPC (16:0/16:0)"
"PYY",FALSE,0.0136,0.0658,0.933,0.257,0.159,1.16,0.257,1.44,0.159,NA
"IL2",FALSE,0.0132,0.264,0.933,0.513,0.287,-0.0338,0.973,1.08,0.287,NA
