"","DWM.avg","RYGB.avg","RYGBvsDWM.t","RYGBvsDWM.p","RYGBvsDWM.FDR","CHEBI"
"CHEBI:16919",0.01317,-0.6231,-4.345,0.0001094,0.009414,"creatine"
"GOT1",-0.2123,-0.01728,2.273,0.0291,0.3446,NA
"CHEBI:1372",-0.1113,-0.4682,-2.196,0.03466,0.3725,"S-1-pyrroline-5-carboxylate"
"ARG1",-0.1267,0.04806,2.146,0.03872,0.3863,NA
"CHEBI:16199",0.00866,-0.3081,-1.982,0.05513,0.4345,"urea"
"CHEBI:15741",0.1046,-0.06975,-1.779,0.0837,0.4785,"succinate"
"CHEBI:16680",0.3041,-0.4946,-1.75,0.08875,0.4868,"S-adenosylhomocysteine (SAH)"
"CHEBI:15428",0.1964,0.329,1.453,0.1549,0.5428,"glycine"
"CHEBI:17627",0.8245,-0.3491,-1.412,0.1665,0.5428,"heme"
"CHEBI:17053",0.00747,-0.2782,-1.304,0.2005,0.5428,"aspartate"
"CHEBI:16027",0.4007,-0.2448,-1.214,0.2328,0.5428,"adenosine 5'-monophosphate (AMP)"
"CHEBI:16467",-0.07512,0.03699,1.077,0.2885,0.566,"arginine"
"CKB",-0.006849,-0.1506,-0.9227,0.3623,0.6045,NA
"CHEBI:18367",0.05635,0.009885,-0.862,0.3944,0.6286,"phosphate"
"CHEBI:18012",0.3163,0.09212,-0.7658,0.4488,0.6568,"fumarate"
"CHEBI:16349",-0.1215,0.004756,0.7134,0.4802,0.6803,"citrulline"
"CHEBI:17203",-0.1107,-0.1669,-0.5482,0.587,0.7575,"proline"
"CHEBI:16015",-0.2246,-0.3188,-0.4112,0.6834,0.8185,"glutamate"
"CHEBI:30915",-0.1733,-0.2127,-0.3826,0.7042,0.836,"alpha-ketoglutarate"
"CHEBI:16344",0.295,0.3189,0.1006,0.9204,0.963,"guanidinoacetate"
