,NGenes,RYGBvsDWM.Direction,RYGBvsDWM.p,RYGBvsDWM.FDR,RYGBvsDWM.Mixed.p,RYGBvsDWM.Mixed.FDR
Phospholipid Biosynthesis,4,Down,0.000475,0.0085,0.000025,0.00162
"Valine, Leucine and Isoleucine Degradation",15,Down,0.00012,0.00423,0.00006,0.00207
Beta-Alanine Metabolism,10,Down,0.0131,0.0555,0.00011,0.00211
Histidine Metabolism,10,Down,0.000105,0.00423,0.00012,0.00211
Retinol Metabolism,6,Down,0.00245,0.0201,0.000385,0.00551
Methylhistidine Metabolism,3,Down,0.00148,0.0199,0.000475,0.00567
Ammonia Recycling,12,Down,0.0247,0.0828,0.00233,0.0207
Oxidation of Branched Chain Fatty Acids,3,Down,0.00252,0.0201,0.00255,0.0207
Catecholamine Biosynthesis,3,Down,0.00166,0.0199,0.00276,0.0207
Methionine Metabolism,17,Down,0.00736,0.0408,0.00287,0.0207
Caffeine Metabolism,9,Down,0.00313,0.0226,0.00409,0.0268
Phenylacetate Metabolism,4,Up,0.32,0.404,0.00494,0.0296
Tryptophan Metabolism,15,Down,0.0035,0.0229,0.0086,0.0455
Fatty Acid Biosynthesis,9,Down,0.751,0.784,0.00884,0.0455
Pantothenate and CoA Biosynthesis,3,Up,0.0465,0.136,0.00966,0.0464
Betaine Metabolism,7,Down,0.00042,0.0085,0.0103,0.0464
Inositol Metabolism,3,Down,0.01,0.0472,0.0117,0.0492
Phenylalanine and Tyrosine Metabolism,10,Down,0.0557,0.141,0.0125,0.0492
Arginine and Proline Metabolism,20,Down,0.049,0.136,0.0131,0.0492
Sulfate/Sulfite Metabolism,4,Down,0.527,0.567,0.0137,0.0492
Glycine and Serine Metabolism,22,Down,0.057,0.141,0.0161,0.0552
Transfer of Acetyl Groups into Mitochondria,5,Down,0.201,0.28,0.0173,0.0565
Pyrimidine Metabolism,13,Down,0.734,0.777,0.0194,0.0608
Glycerolipid Metabolism,8,Down,0.0996,0.184,0.0222,0.065
Fatty acid Metabolism,3,Up,0.846,0.858,0.0226,0.065
Homocysteine Degradation,4,Up,0.395,0.451,0.0254,0.0704
Warburg Effect,18,Down,0.0253,0.0828,0.027,0.0719
Sphingolipid Metabolism,10,Down,0.119,0.205,0.0325,0.0807
Pyruvate Metabolism,6,Down,0.0233,0.0828,0.0346,0.0807
Glutamate Metabolism,14,Down,0.11,0.198,0.0347,0.0807
Butyrate Metabolism,3,Down,0.483,0.535,0.0355,0.0807
Carnitine Synthesis,6,Down,0.125,0.205,0.0359,0.0807
Starch and Sucrose Metabolism,6,Down,0.0167,0.0635,0.037,0.0807
Tyrosine Metabolism,13,Down,0.0804,0.157,0.0395,0.0836
Mitochondrial Electron Transport Chain,8,Down,0.00494,0.0297,0.0452,0.093
Cysteine Metabolism,7,Down,0.768,0.79,0.0569,0.109
Taurine and Hypotaurine Metabolism,4,Down,0.419,0.472,0.0573,0.109
Propanoate Metabolism,6,Down,0.00956,0.0472,0.0596,0.109
Gluconeogenesis,10,Down,0.056,0.141,0.0605,0.109
Selenoamino Acid Metabolism,5,Down,0.121,0.205,0.0612,0.109
Thyroid hormone synthesis,5,Down,0.00227,0.0201,0.0623,0.109
Galactose Metabolism,6,Down,0.0168,0.0635,0.0661,0.113
Phosphatidylinositol Phosphate Metabolism,5,Down,0.0689,0.154,0.0676,0.113
Glycolysis,8,Down,0.0731,0.154,0.0774,0.127
Amino Sugar Metabolism,8,Down,0.205,0.28,0.0799,0.128
Urea Cycle,14,Down,0.125,0.205,0.0834,0.128
Androgen and Estrogen Metabolism,4,Down,0.0589,0.141,0.0837,0.128
Alpha Linolenic Acid and Linoleic Acid Metabolism,9,Down,0.0916,0.174,0.0892,0.134
Bile Acid Biosynthesis,8,Down,0.0766,0.154,0.0913,0.134
Pentose Phosphate Pathway,5,Down,0.0768,0.154,0.0987,0.142
Glutathione Metabolism,4,Up,0.367,0.439,0.112,0.158
Citric Acid Cycle,9,Down,0.277,0.361,0.13,0.18
Steroidogenesis,3,Down,0.326,0.405,0.133,0.181
Nicotinate and Nicotinamide Metabolism,12,Down,0.0105,0.0472,0.136,0.181
Ethanol Degradation,3,Down,0.176,0.264,0.182,0.238
Glycerol Phosphate Shuttle,3,Down,0.372,0.439,0.185,0.238
Aspartate Metabolism,14,Down,0.0701,0.154,0.194,0.245
Alanine Metabolism,9,Down,0.172,0.263,0.198,0.246
Riboflavin Metabolism,4,Down,0.351,0.428,0.213,0.26
Porphyrin Metabolism,4,Up,0.969,0.969,0.224,0.269
Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,3,Down,0.164,0.257,0.237,0.28
Purine Metabolism,20,Down,0.0475,0.136,0.248,0.288
Spermidine and Spermine Biosynthesis,4,Down,0.0483,0.136,0.271,0.305
Degradation of Superoxides,4,Down,0.188,0.27,0.271,0.305
Glucose-Alanine Cycle,5,Down,0.151,0.242,0.277,0.305
Steroid Biosynthesis,3,Down,0.265,0.353,0.281,0.305
Fructose and Mannose Degradation,4,Down,0.0761,0.154,0.284,0.305
Lysine Degradation,5,Down,0.181,0.265,0.384,0.407
Arachidonic Acid Metabolism,5,Down,0.495,0.54,0.393,0.411
Lactose Synthesis,3,Down,0.206,0.28,0.434,0.447
Malate-Aspartate Shuttle,3,Down,0.394,0.451,0.549,0.557
Vitamin B6 Metabolism,4,Down,0.281,0.361,0.63,0.63
